contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPX260918C06580000,2026-05-13 19:37:33+00:00,6580.0,1028.63,973.9,976.8,0.0,0.0,1.0,65,0.2720276197624206,True,REGULAR,USD
SPX260918C06590000,2026-04-20 18:45:15+00:00,6590.0,744.5,965.1,967.9,0.0,0.0,2.0,16,0.27086128773689266,True,REGULAR,USD
SPX260918C06600000,2026-05-13 19:52:21+00:00,6600.0,1005.3,956.3,959.2,0.0,0.0,24.0,10077,0.26984563474655143,True,REGULAR,USD
SPX260918C06610000,2026-04-10 14:02:16+00:00,6610.0,515.61,943.8,947.1,0.0,0.0,9.0,7,0.26611299079895023,True,REGULAR,USD
SPX260918C06620000,2026-04-23 14:23:11+00:00,6620.0,736.81,938.7,941.6,0.0,0.0,2.0,6,0.26762359580993644,True,REGULAR,USD
SPX260918C06625000,2026-05-05 19:43:22+00:00,6625.0,832.44,934.4,937.2,0.0,0.0,1.0,1122,0.2670609335899353,True,REGULAR,USD
SPX260918C06630000,2026-04-17 15:50:51+00:00,6630.0,730.45,930.0,932.9,0.0,0.0,1.0,129,0.26657456455230716,True,REGULAR,USD
SPX260918C06640000,2026-04-10 13:47:09+00:00,6640.0,495.99,918.2,921.5,0.0,0.0,8.0,14,0.263404582824707,True,REGULAR,USD
SPXW260918C06650000,2026-04-27 13:47:12+00:00,6650.0,728.49,910.8,918.4,0.0,0.0,,1,0.2666947263145447,True,REGULAR,USD
SPX260918C06660000,2026-05-14 17:04:11+00:00,6660.0,1000.87,903.8,906.6,0.0,0.0,20.0,34,0.2632128962039948,True,REGULAR,USD
SPX260918C06670000,2026-05-14 17:04:11+00:00,6670.0,991.97,895.1,897.9,0.0,0.0,20.0,158,0.26212285736083984,True,REGULAR,USD
SPX260918C06675000,2026-04-09 18:00:15+00:00,6675.0,473.3,886.7,889.9,0.0,0.0,7.0,656,0.2587716793251038,True,REGULAR,USD
